"","Cod IBGE","Município","idhm_2010"
"613",3554755,"Trabiju",0.722
"614",3554805,"Tremembé",0.785
"615",3554904,"Três Fronteiras",0.753
"616",3554953,"Tuiuti",0.728
"617",3555000,"Tupã",0.771
"618",3555109,"Tupi Paulista",0.769
"619",3555208,"Turiúba",0.751
"620",3555307,"Turmalina",0.736
"621",3555356,"Ubarana",0.7
"622",3555406,"Ubatuba",0.751
"623",3555505,"Ubirajara",0.727
"624",3555604,"Uchôa",0.721
"625",3555703,"União Paulista",0.749
"626",3555802,"Urânia",0.746
"627",3555901,"Uru",0.712
"628",3556008,"Urupês",0.745
"629",3556107,"Valentim Gentil",0.735
"630",3556206,"Valinhos",0.819
"631",3556305,"Valparaíso",0.725
"632",3556354,"Vargem",0.699
"633",3556404,"Vargem Grande do Sul",0.737
"634",3556453,"Vargem Grande Paulista",0.77
"635",3556503,"Várzea Paulista",0.759
"636",3556602,"Vera Cruz",0.754
"637",3556701,"Vinhedo",0.817
"638",3556800,"Viradouro",0.739
"639",3556909,"Vista Alegre do Alto",0.744
"640",3556958,"Vitória Brasil",0.725
"641",3557006,"Votorantim",0.767
"642",3557105,"Votuporanga",0.79
"643",3557154,"Zacarias",0.729
"644",3557204,"Chavantes",0.729
"645",3557303,"Estiva Gerbi",0.74
